--contingency
--label
'Percentile_50_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
131, 0.5043162925, -0.0000000000, 0.0000000000, 1.0058120794, -0.0000000000, 0.5043162925, NaN, -0.0000000090, -0.0000000090, 0.0000000000
132, NaN, -0.0000000000, 0.0000000000, 1.0027427264, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
133, NaN, -0.0295707100, 0.0000000000, 1.0008372543, -0.0000000000, -0.0295707100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
134, NaN, -0.0000000000, 0.0000000000, 1.0011781448, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
135, NaN, -0.0000000000, 0.0000000000, 1.0003564116, -0.0000000000, -0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
136, NaN, -0.1054979000, 0.0000000000, 1.0011172222, -0.0000000000, -0.1054979000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
137, 0.8396873003, -0.0000000000, 0.0000000000, 1.0104466502, -0.0000000000, 0.8396873003, NaN, -0.0000000090, -0.0000000090, 0.0000000000
138, 0.0681738565, -0.0000000000, 0.0000000000, 1.0030638563, -0.0000000000, 0.0681738565, NaN, -0.0000000090, -0.0000000090, 0.0000000000
139, NaN, -0.1109473000, 0.0000000000, 0.9876340281, -0.0000000000, -0.1109473000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
140, 0.0000000000, -0.1959852000, 0.0000000000, 1.0460682154, -0.0000000000, -0.1959852000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
141, NaN, -0.0000000000, 0.0000000000, 0.9896756644, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
142, NaN, -0.1734817000, 0.0000000000, 0.9926925332, -0.0000000000, -0.1734817000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
143, NaN, -0.0000000000, 0.0000000000, 1.0035801002, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
144, NaN, -0.0000000000, 0.0000000000, 0.9982472782, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
145, 0.2549706359, -0.0000000000, 0.0000000000, 1.0046751990, -0.0000000000, 0.2549706359, NaN, -0.0000000090, -0.0000000090, 0.0000000000
146, NaN, -0.0546823600, 0.0000000000, 1.0069269484, -0.0000000000, -0.0546823600, NaN, -0.0000000090, -0.0000000090, 0.0000000000
147, 0.0000000000, -0.8676003000, 0.0000000000, 0.9999343922, -0.0000000000, -0.8676003000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
148, NaN, -0.1271998000, 0.0000000000, 0.9903787763, -0.0000000000, -0.1271998000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
149, 0.7658041343, -0.0000000000, 0.0000000000, 1.0116185779, -0.0000000000, 0.7658041343, NaN, -0.0000000090, -0.0000000090, 0.0000000000
150, NaN, -0.0923544700, 0.0000000000, 1.0011647162, -0.0000000000, -0.0923544700, NaN, -0.0000000090, -0.0000000090, 0.0000000000
151, NaN, -0.0485304900, 0.0000000000, 0.9838841540, -0.0000000000, -0.0485304900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
152, NaN, -0.0000000000, 0.0000000000, 1.0228968313, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
153, NaN, -0.0000000000, 0.0000000000, 1.0063192888, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
154, NaN, -0.0577529000, 0.0000000000, 1.0037427052, -0.0000000000, -0.0577529000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
155, 0.0191071672, -0.0000000000, 0.0000000000, 1.0087255073, -0.0000000000, 0.0191071672, NaN, -0.0000000090, -0.0000000090, 0.0000000000
156, NaN, -0.0493704100, 0.0000000000, 0.9837809823, -0.0000000000, -0.0493704100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
157, NaN, -0.0000000000, 0.0000000000, 1.0003781888, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
158, 0.0488461856, -0.0000000000, 0.0000000000, 1.0076256431, -0.0000000000, 0.0488461856, NaN, -0.0000000090, -0.0000000090, 0.0000000000
159, 0.0018019202, -0.0000000000, 0.0000000000, 1.0202118694, -0.0000000000, 0.0018019202, NaN, -0.0000000090, -0.0000000090, 0.0000000000
160, NaN, -0.1266524000, 0.0000000000, 1.0218698304, -0.0000000000, -0.1266524000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
161, NaN, -0.0401075200, 0.0000000000, 0.9733330132, -0.0000000000, -0.0401075200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
162, NaN, -0.0000000000, 0.0000000000, 1.0156682136, -0.0000000000, -0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
