--ramp rate info
Generator, Unit, ramp rate bound
1600, '3', 0.0414384678
2136, '1', 0.9910171456
2136, '2', 0.2498578270
1847, '1', 0.8099280216
1847, '2', 0.1474243044
1455, '1', 1.1427716725
1455, '2', 0.2197244989
653, '1', 2.0591998963
1292, '1', 0.1293727140
1123, '1', 0.2617562136
1576, '1', 0.0860119103
1576, '2', 0.0787730104
1333, '1', 0.0503568125
1333, '2', 0.0238890007
1333, '3', 0.0631232287
1323, '1', 0.1976145713
483, '1', 0.2813699064
519, '1', 0.5065000897
519, '2', 0.5581714771
519, '3', 0.3737873155
253, '2', 0.1562441524
253, '3', 0.3109774282
1686, '1', 0.0953218758
1686, '2', 0.0980096780
1686, '3', 0.0862716021
1675, '1', 0.1080321518
1675, '2', 0.0872399506
253, '4', 0.2007530997
253, '5', 0.1927147644
112, '1', 0.1725698253
112, '2', 0.1531043009
8239, '1', 0.1297965570
8239, '2', 0.1062606876
8239, '3', 0.1368611740
8239, '4', 0.0954222751
1920, '4', 0.1750431868
1920, '5', 0.1499904806
1920, '6', 0.1655357683
1920, '7', 0.1560117590
539, '1', 1.2085369321
539, '2', 1.0312116444
714, '1', 0.1185217374
714, '2', 0.0774019217
714, '3', 0.1768352169
714, '4', 0.1752711782
714, '5', 0.0756630053
714, '6', 0.0228612846
1675, '3', 0.1740003283
1675, '4', 0.1762408234
1675, '5', 0.0940014973
1675, '6', 0.0805447528
1924, '1', 0.5762901008
1924, '2', 1.3545609574
1599, '1', 3.4525517248
1599, '2', 3.2302470251
1599, '3', 1.2747054508
1680, '1', 1.5874399563
1936, '1', 1.3022837449
1680, '2', 0.5942487660
1557, '1', 0.4021181818
1557, '2', 0.4859697084
1557, '3', 0.4598386641
2203, '4', 0.5961879459
1928, '1', 0.7883327462
1931, '1', 0.4778891719
1931, '2', 0.6374282622
8593, '1', 0.0420082792
1753, '2', 1.2001218549
465, '1', 0.3979732533
367, '2', 0.1211856575
367, '3', 0.0267590683
1717, '3', 1.0379192898
1163, '1', 1.7697136089
446, '1', 0.0134277851
446, '2', 0.0163699397
446, '3', 0.0234949157
446, '4', 0.0355891986
1932, '2', 0.2601364252
1933, '3', 0.1568589295
1989, '1', 0.2341446721
1989, '2', 0.0044230370
166, '1', 0.0451321742
1116, '1', 0.0185581371
1116, '2', 0.0339663124
1425, '1', 0.8968309427
1668, '1', 1.5108868675
1675, '7', 0.1068729555
1937, '1', 0.1271315493
1937, '2', 0.1372688501
1703, '5', 0.3311283866
1703, '6', 1.2447382817
1783, '5', 0.6738720216
1854, '1', 1.9676159305
1887, '2', 0.0731579936
1887, '3', 0.0587318760
1887, '4', 0.0117974288
7649, '1', 0.0160057868
7649, '2', 0.0359543903
7649, '3', 0.0143879822
7649, '4', 0.0354937801
7649, '5', 0.0239507981
1680, '3', 1.4447803961
1848, '2', 0.3546301380
1848, '3', 0.3201698529
6, '1', 0.1479840268
1857, '1', 0.2163417883
2407, '1', 0.2543409514
1857, '2', 0.2730006310
295, '1', 0.6858365967
1721, '1', 2.7168914795
1721, '2', 0.3322520611
1721, '3', 0.1057367109
1721, '4', 0.7158506970
1519, '1', 2.4062662456
1519, '2', 0.6110741517
1932, '3', 0.2999681450
1927, '1', 0.4969413867
1927, '2', 0.3702202108
1592, '1', 1.0617525134
1592, '2', 0.9785054380
1592, '3', 0.7951166697
1933, '4', 1.7488427381
1096, '1', 0.1314230588
636, '1', 0.0246040849
636, '2', 0.0186063730
636, '3', 0.0308483788
1707, '1', 1.6309194107
2117, '1', 11.8301489029
1086, '1', 0.0578717467
1086, '2', 0.0842952667
1086, '3', 0.0586959370
1086, '4', 0.0783453193
1389, '1', 12.2149542679
1389, '2', 10.1160019764
1389, '3', 8.6872944778
282, '1', 15.7036948607
282, '2', 17.9809777958
282, '3', 10.0164367456
282, '4', 17.6953224913
8018, '5', 0.1721900875
1937, '3', 8.3886718628
1937, '4', 8.4263729509
1937, '5', 9.5869295137
631, '1', 0.0609897342
631, '2', 0.1577782522
1589, '1', 6.5081260287
1589, '2', 4.6839277512
1589, '3', 6.7740115716
8185, '1', 9.0810512286
8185, '2', 7.2970248736
8185, '3', 4.7100336355
8003, '1', 4.4380715102
8003, '2', 10.0165103698
8003, '3', 10.5136897733
1820, '1', 8.4215461998
1820, '2', 10.3610668579
1820, '3', 11.0610646278
2406, '1', 0.8810445222
